This	April 28, 1963	Last	Weeks
Week	Fiction	Week	On List
""			
1	RAISE HIGH THE ROOF BEAM, CARPENTERS, by J.D. Salinger	1	11
""			
2	SEVEN DAYS IN MAY, by Fletcher Knebel and Charles W. Bailey II.	2	31
""			
3	THE GLASS BLOWERS, by Daphne du Maurier	3	4
""			
4	THE SAND PEBBLES, by Richard McKenna.	4	15
""			
5	THE MOONSPINNERS, by Mary Stewart.	6	16
""			
6	GRANDMOTHER AND THE PRIESTS, by Taylor Caldwell.	7	4
""			
7	THE MOONFLOWER VINE, by Jetta Carleton	5	10
""			
8	FAIL-SAFE, by Eugene Burdick and Harvey Wheeler.	8	26
""			
9	TRIUMPH, by Philip Wylie.	9	8
""			
10	THE CENTAUR, by John Updike	10	7
