year,adventure,domestic,fsf,historical,horror,legal,mystery,religious,romance,spy_and_politics,suspense,war,ya,zz_needs label,zz_no genre
1950,,,,,,,,,,,,,,0.272727272727,0.271186440678
1951,,,,,,,,,,,,,,0.375,0.243243243243
1952,,,,,,,,,,,,,,0.166666666667,0.323529411765
1953,,,,,,,,,1.0,,,,,0.2,0.222222222222
1954,,,,,,,,,1.0,,,,,0.25,0.254237288136
1955,,,,,,,,,,,,,,0.666666666667,0.225806451613
1956,,,,,,,,,,,,,,0.285714285714,0.274193548387
1957,,,,1.0,,,,,,,,,,0.25,0.293103448276
1958,,,,1.0,,,,,,,,,,0.5,0.269841269841
1959,,,,,,,1.0,,,,,,,,0.220338983051
1960,,,,1.0,,,1.0,,,,,,,,0.234375
1961,,,,,,,1.0,1.0,1.0,,,,1.0,0.5,0.267857142857
1962,,,,,,,1.0,,,,,,1.0,1.0,0.196428571429
1963,,,,,,,1.0,,,,,,,,0.28
1964,,,,,,,,,,1.0,,,,,0.192307692308
1965,,,,,,,,,1.0,,,,,,0.25
1966,,,,,,,,,,,,,,,0.387096774194
1967,,,,,,,,,,,,,,,0.1875
1968,,,,,,,,,,,,,,,0.214285714286
1969,,,,1.0,,,0.5,,,,,,,,0.354838709677
1970,,,1.0,,,,0.5,,,,,,,,0.354838709677
1971,,,,,,,1.0,,,,,,,,0.243243243243
1972,,,,,,,,,,,,,,,0.222222222222
1973,,,,,,,0.5,1.0,,,,,,0.333333333333,0.28125
1974,,,,,,,1.0,,1.0,0.5,,,,,0.181818181818
1975,,,,,,,0.5,,,,,,,,0.16
1976,,,,,,,0.666666666667,,1.0,,,,,,0.2
1977,,,,,,,0.5,,1.0,,,,,,0.307692307692
1978,,,,,,,,,1.0,0.5,1.0,,,,0.25
1979,,,,,,,0.5,,1.0,,,,,0.5,0.244444444444
1980,,,,1.0,,,,,1.0,,,,,,0.391304347826
1981,,,,1.0,,,,,1.0,,,,,0.5,0.22
1982,,,,,,,,,0.666666666667,,,,,0.5,0.224489795918
1983,,,0.166666666667,,,,,,,,,,,,0.377777777778
1984,,,0.25,,,,,,1.0,,,,,0.25,0.375
1985,,1.0,,,0.333333333333,,,,,,,,,0.666666666667,0.254237288136
1986,,,0.166666666667,,,,,,,,,,,1.0,0.327272727273
1987,,,,,,,0.5,,,,,,,0.333333333333,0.298245614035
1988,,,0.25,,,,,,1.0,0.333333333333,,,,,0.236363636364
1989,,,0.333333333333,,,,,,,,,,,,0.323943661972
1990,,1.0,,,0.5,,0.5,,1.0,,,,,,0.268656716418
1991,,1.0,,,0.333333333333,,,,,,,,,1.0,0.434782608696
1992,,1.0,0.25,,,,,,,,,,,1.0,0.463768115942
1993,,1.0,,,0.333333333333,,,,1.0,,,,,1.0,0.353846153846
1994,,1.0,0.25,,0.5,,0.4,,,,,,,,0.441176470588
1995,,1.0,,,,,1.0,1.0,,,,1.0,,,0.350649350649
1996,,1.0,,1.0,,,1.0,,0.666666666667,,1.0,,,,0.354430379747
1997,0.5,1.0,1.0,1.0,,,0.5,,,,0.5,,,,0.384615384615
1998,,1.0,,1.0,1.0,,0.75,,1.0,,,,,,0.392857142857
1999,,,,,,0.333333333333,0.5,0.5,1.0,,,,,,0.447058823529
2000,0.166666666667,,,0.666666666667,,,,,1.0,,,,,1.0,0.52688172043
2001,,1.0,,,0.5,0.666666666667,0.25,0.5,1.0,,,,,,0.547169811321
2002,,0.5,,,,,,,1.0,,,,,,0.466666666667
2003,,1.0,,1.0,,,,,,,,,,,0.430769230769
2004,,,,,,,,,,,,,,1.0,0.535433070866
2005,,1.0,,,1.0,,1.0,,0.5,,,,,,0.484615384615
2006,,0.666666666667,,,0.4,0.5,0.333333333333,,1.0,,1.0,,,0.333333333333,0.454545454545
2007,,1.0,,,1.0,,,,1.0,,,,,0.666666666667,0.450980392157
2008,,1.0,0.6,,0.333333333333,,0.333333333333,,1.0,,0.25,,,,0.464516129032
2009,,,0.333333333333,,0.666666666667,,,,1.0,,,,,1.0,0.497142857143
2010,,,,,1.0,,0.333333333333,,,,,,,,0.448648648649
2011,,,,1.0,1.0,,0.333333333333,,,,,,,,0.449438202247
2012,,1.0,1.0,,0.8,,,,1.0,,,,,,0.44262295082
2013,,,1.0,1.0,0.5,,,,,,,,,1.0,0.466666666667
2014,,,0.5,,,,,,1.0,,,,,,0.435483870968
2015,,,,,,,,,1.0,,,,,,0.444444444444
2016,,,,,0.5,,,,1.0,,,,,,0.469135802469
2017,,,,,,,,,,,,,,0.714285714286,0.28125
