This	September 21, 1952	Last	Week
Week	Fiction	Week	On Li
""			
1	THE SILVER CHALICE, by Thomas B. Costain.	1	8
""			
2	THE CAINE MUTINY, by Herman Wouk.	2	75
""			
3	THE HOUSES IN BETWEEN, by Howard Spring.	3	19
""			
4	MATADOR, by Barnaby Conrad.	4	11
""			
5	THE GOWN OF GLORY, by Agnes Sligh Turnbull.	5	25
""			
6	THE OLD MAN AND THE SEA, by Ernest Hemingway.	13	2
""			
7	DON CAMILLO AND HIS FLOCK, by Giovanni Guareschi.	8	4
""			
8	MY COUSIN RACHEL, by Daphne du Maurier.	6	32
""			
9	THE DISTANT SHORE, by Jan de Hartog.	9	2
""			
10	CATHERINE CARTER, by Pamela Hansford Johnson.	7	7
""			
11	THE SINNER OF SAINT AMBROSE, by Robert Reynolds.	14	4
""			
12	THE CRUEL SEA, by Nicholas Monsarrat.	11	58
""			
13	THE HIDDEN FLOWER, by Pearl S. Buck.	10	16
""			
14	THE SPIRE, by Gerald Warner Brace.	--	1
""			
15	THE SARACEN BLADE, by Frank Yerby.	16	22
""			
16	THE STORIES OF FRANK O'CONNER, by Frank O'Conner.	15	3
This	September 21, 1952	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	A MAN CALLED PETER, by Catherine Marshall.	4	48
""			
2	WITNESS, by Whittaker Chambers.	1	17
""			
3	THE SEA AROUND US, by Rachel Carson.	3	62
""			
4	ANNE FRANK:THE DIARY OF A YOUNG GIRL, by Anne Frank.	2	12
""			
5	POSTMARKED MOSCOW, by Lydia Kirk.	6	7
""			
6	WINDOWS FOR THE CROWN PRICE, by Elizabeth Gray Vining.	5	17
""			
7	ADLAI E. STEVENSON OF ILLINOIS, by Noel F. Busch.	9	6
""			
8	SUBMARINE, by Edward L. Beach.	8	10
""			
9	THE THURBER ALBUM, by James Thurber.	7	14
""			
10	THE GREAT ENTERPRISE, by H.A. Overstreet.	11	4
""			
11	JOURNEY TO THE FAR PACIFIC, by Thomas E. Dewey.	10	8
""			
""	HOW TO SUCCEED IN BUISNESS WITHOUT REALLY TRYING, by Shepherd		
12	Mead.	14	2
""			
13	IN ONE EAR, by Eric Severeid.	13	7
""			
14	I GO POGO, by Walt Kelly.	--	1
""			
15	THE MEMOIRS OF HERBERT HOOVER. Vol 3, by Herbert Hoover.	--	1
""			
16	THEODORA AND THE EMPEROR, by Harold Lamb.	15	5
